Categorie,Nume Fisier,URL,Descriere
Acte Normative,Legea nr. 98/2016,https://legislatie.just.ro/public/detaliidocument/178667,Cadrul legal achiziții publice
Acte Normative,HG nr. 395/2016,https://legislatie.just.ro/Public/DetaliiDocument/179009,Norme metodologice Legea 98/2016
Acte Normative,Legea nr. 99/2016,https://legislatie.just.ro/Public/DetaliiDocument/178661,Cadrul legal achiziții sectoriale
Acte Normative,HG nr. 394/2016,https://legislatie.just.ro/Public/DetaliiDocument/178987,Norme metodologice Legea 99/2016
DA Produse,Ordin 1.554/2023,https://anap.gov.ro/ro/wp-content/uploads/2023/09/ORDIN-nr.-1.554-din-17-august-2023.pdf,Ordin-cadru
DA Produse,Sectiunea I – Instructiuni,https://anap.gov.ro/ro/wp-content/uploads/2023/09/Sectiunea-I-Instructiuni-catre-ofertanti.docx,Șablon instrucțiuni
DA Produse,Sectiunea II – Caiet de sarcini,https://anap.gov.ro/ro/wp-content/uploads/2023/09/Sectiunea-II-Caiet-de-Sarcini-1.docx,Caiet sarcini produse
DA Produse,Sectiunea III – Model contract,https://anap.gov.ro/web/wp-content/uploads/2023/09/Sectiunea-III-Model-Contract-achizitie.docx,Model contract
DA Produse,Sectiunea IV – Acord cadru fara reluare,https://anap.gov.ro/ro/wp-content/uploads/2023/04/Sectiunea-IV-Model-Acord-cadru-contract-subsecvent-fara-reluarea-competitiei.docx,Model AC fără reluare
DA Produse,Sectiunea V – Acord cadru cu reluare,https://anap.gov.ro/ro/wp-content/uploads/2023/09/Sectiunea-V-Model-acord-cadru-cu-reluarea-competitiei.docx,Model AC cu reluare
DA Produse,Sectiunea VI.2 – Propunere tehnica,https://anap.gov.ro/ro/wp-content/uploads/2023/09/Sectiunea-VI.2-Formular-propunere-tehnica.docx,Formular PT
DA Produse,Sectiunea VI – Oferta financiara bunuri,https://anap.gov.ro/ro/wp-content/uploads/2023/04/Sectiunea-VI-Anexe-Formular-oferta-financiara-bunuri.docx,Formular OF
DA Produse,Sectiunea VI – Anexa oferta financiara bunuri,https://anap.gov.ro/ro/wp-content/uploads/2023/04/Sectiunea-VI-Anexe-Formular-propunere-financiara-anexa-la-oferta-financiara-bunuri.xlsx,Tabel PF (xlsx)
Evaluare,Ordin 1.170/2021,https://anap.gov.ro/ro/wp-content/uploads/2021/09/Ordin-1170.pdf,Ordin PV-uri
Evaluare,Anexa 1 (PDF),https://anap.gov.ro/ro/wp-content/uploads/2021/07/Anexa_1_Ordin_ANAP.pdf,PV garanție/DUAE
Evaluare,Anexa 2 (PDF),https://anap.gov.ro/ro/wp-content/uploads/2021/07/Anexa_2_Ordin_ANAP.pdf,Raport intermediar
Evaluare,Anexa 3 (PDF),https://anap.gov.ro/ro/wp-content/uploads/2021/07/Anexa_3_Ordin_ANAP.pdf,PV evaluare PT
Evaluare,Anexa 4 (PDF),https://anap.gov.ro/ro/wp-content/uploads/2021/07/Anexa_4_Ordin_ANAP.pdf,PV evaluare PF
Evaluare,Anexa 5 (PDF),https://anap.gov.ro/ro/wp-content/uploads/2021/07/Anexa_5_Ordin_ANAP.pdf,Raport procedura
Evaluare,Anexa 3 (DOCX),https://anap.gov.ro/web/wp-content/uploads/2021/09/Anexa-3-la-Ordinul-1170.docx,PV evaluare PT (editabil)
Evaluare,Anexa 5 (DOCX),https://anap.gov.ro/ro/wp-content/uploads/2021/09/Anexa-5-la-Ordinul-1170.docx,Raport procedura (editabil)
Evaluare,Anexa 6 (DOCX),https://anap.gov.ro/web/wp-content/uploads/2021/09/anexa-6-la-Ordinul-1170.docx,PV suport DUAE (editabil)
Checklists,Ordin 840/2024,https://anap.gov.ro/web/wp-content/uploads/2024/04/Ordinul-nr.-8402024-privind-aprobarea-listelor-de-verificare.pdf,Ordin checklists
Checklists,Anexa 1,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-1-LV-LUCRARI-PROIECTARE-SI-EXECUTIE.docx,LV Lucrări P+E
Checklists,Anexa 2,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-2-LV-executie-lucrari.docx,LV Execuție lucrări
Checklists,Anexa 4,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-4-Concesiune-de-lucrari-si-concesiune-de-servicii.docx,LV Concesiuni
Checklists,Anexa 5,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-5-LV-servicii-intelectuale.docx,LV Servicii intelectuale
Checklists,Anexa 6,https://anap.gov.ro/web/wp-content/uploads/2024/04/Anexa-6-LV-servicii-non-intelectuale.docx,LV Servicii non-intelectuale
Checklists,Anexa 7,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-7-LV-initiere-negociere-fara-publicare.docx,LV Inițiere NFP
Checklists,Anexa 8,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-8-LV-derulare-negociere-fara-publicare.docx,LV Derulare NFP
Checklists,Anexa 9,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-9-LV-componenta-CE-indepl-cond-de-forma-aferente-depunerii-ofertelor-candidaturilor-.docx,LV Condiții formă
Checklists,Anexa 10.1,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-10.1-LV-privind-evaluarea-propunerilor-tehnice-si-a-conformitatii-acestora-Lucrari.docx,LV PT Lucrări
Checklists,Anexa 10.2,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-10.2-LV-privind-evaluarea-propunerilor-tehnice-si-a-conformitatii-acestora-Servicii.docx,LV PT Servicii
Checklists,Anexa 10.3,https://anap.gov.ro/web/wp-content/uploads/2024/04/Anexa-10.3-LV-privind-evaluarea-propunerilor-tehnice-si-a-conformitatii-acestora-Produse.docx,LV PT Produse
Checklists,Anexa 11.1,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-11.1-LV-privind-evaluarea-propunerilor-financiare-si-a-conformitatii-acestora-Lucrari.docx,LV PF Lucrări
Checklists,Anexa 11.2,https://anap.gov.ro/web/wp-content/uploads/2024/04/Anexa-11.2-LV-privind-evaluarea-propunerilor-financiare-si-a-conformitatii-acestora-Servicii-.docx,LV PF Servicii
Checklists,Anexa 11.3,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-11.3-LV-privind-evaluarea-propunerilor-financiare-si-a-conformitatii-acestora-Produse.docx,LV PF Produse
Checklists,Anexa 12,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-12-LV-Documente-suport-si-concluziile-din-raportul-procedurii.docx,LV Documente suport
Checklists,Anexa 13,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-13-LV-aplicarea-procedurii-de-licitatie-deschisa-licitatie-restransa.docx,LV Licitație deschisă
Checklists,Anexa 15,https://anap.gov.ro/ro/wp-content/uploads/2024/04/Anexa-15-LV-Modificari-contractuale.docx,LV Modificări contractuale
Anexe Tehnice,Ordin 1.946/2024,https://anap.gov.ro/ro/wp-content/uploads/2024/08/ORDIN-nr.-1.946-din-9-august-2024.pdf,Ordin criterii ecologice
Anexe Tehnice,Anexe 1-12 (Set complet),https://anap.gov.ro/ro/wp-content/uploads/2024/06/Anexe-nr-1_12-la-proiect-ordin.docx,Set complet anexe
Anexe Tehnice,Anexa 11 (Auto - PDF),https://anap.gov.ro/web/wp-content/uploads/2024/07/Anexa-11.pdf,Anexa Auto
Anexe Tehnice,Anexa 12 (Alimente - PDF),https://anap.gov.ro/ro/wp-content/uploads/2024/07/Anexa-12.pdf,Anexa Alimente
Anexe Tehnice,Anexa 1 (Computere stationare),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-1-Computere-stationare.docx,Criterii PC desktop
Anexe Tehnice,Anexa 2 (Computere portabile),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-2-Computere-portabile.docx,Criterii laptop
Anexe Tehnice,Anexa 3 (Monitoare),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-3-Monitoare.docx,Criterii monitoare
Anexe Tehnice,Anexa 4 (Tablete),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-4-Tabelete.docx,Criterii tablete
Anexe Tehnice,Anexa 5 (Smartphone),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-5-Telefoane-inteligente.docx,Criterii smartphone
Anexe Tehnice,Anexa 6 (Hartie),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-6-Hartie-de-copiat-si-hartie-grafica.docx,Criterii hârtie
Anexe Tehnice,Anexa 7 (Procesare imagine),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-7-Echipamente-de-procesare-a-imaginii.docx,Criterii imprimante
Anexe Tehnice,Anexa 8 (Consumabile),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-8-Consumabile-pentru-echipamente-de-procesare-a-imaginii.docx,Criterii consumabile
Anexe Tehnice,Anexa 9 (Mobilier I),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-9-Mobilier-Sectiunea-I.docx,Criterii mobilier I
Anexe Tehnice,Anexa 9 (Mobilier II-VI - PDF),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-9-Mobilier-Sectiunile-II-VI.pdf,Criterii mobilier II-VI
Anexe Tehnice,Anexa 10 (Curatenie interioara),https://anap.gov.ro/ro/wp-content/uploads/2024/01/Anexa-nr.-10-Produse-pentru-curatenie-interioara.docx,Criterii curățenie
Anexe Tehnice,Anexa 11 (Auto - factori),https://anap.gov.ro/ro/wp-content/uploads/2023/12/Anexa-11-Autovehicule-pentru-transport-rutier-factori-de-evaluare.docx,Factori auto
Anexe Tehnice,Anexa 11.1 (Auto - specificatii),https://anap.gov.ro/ro/wp-content/uploads/2023/12/Anexa-11.1-Autovehicule-pentru-transport-rutier-specificatii-tehnice.docx,Specificatii auto
Anexe Tehnice,Anexa 6 (Textile - factori),https://anap.gov.ro/ro/wp-content/uploads/2023/12/Anexa-6-Produse-textile-factori-de-evaluare.docx,Factori textile
Anexe Tehnice,Anexa 6.1 (Textile - specificatii),https://anap.gov.ro/ro/wp-content/uploads/2023/12/Anexa-6.1-Produse-textile-specificatii-tehnice.docx,Specificatii textile
Anexe Tehnice,Ghid achizitii verzi,https://anap.gov.ro/ro/wp-content/uploads/2018/11/ORDIN-Nr-1068-Achizitii-verzi.pdf,Ghid vechi 2018
Anexe Tehnice,Catalog factori produse,https://anap.gov.ro/ro/wp-content/uploads/2020/02/ghid-Catalog_factori_produse_ANAP.pdf,Catalog factori
Modele Domenii,Curatenie,https://anap.gov.ro/ro/wp-content/uploads/2023/12/Servicii-de-curatenie-interioara-3.docx,Model curățenie
